Category,Car Name,Capacity,Mileage,Cleaning,Pickup,Drop off,Price
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$116
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$116
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$116
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$82
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$82
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$82
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$82
Standard SUV,Chevrolet Equinox or similar,5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$122
Standard SUV,Chevrolet Equinox or similar,5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$122
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"56 Horton Avenue, Lynbrook, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Midsize,"Mazda 3, Toyota Corola, Chevrolet Cruze, Hyundai Elantra or similar",5person,Unlimited mileage,Enhanced cleaning,"686 Burnside Ave, Inwood, USA
8.4 mi from Hempstead city center",Counter in terminal shuttle to car,$91
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"1297 Woodfield Road, Rockville Centre, USA
3.1 mi from Hempstead city center",Counter in terminal shuttle to car,$86
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Midsize SUV,Nissan Rogue or similar,5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$104
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Compact,"Ford Focus, Nissan Versa or similar",5person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$77
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"138 Jericho Turnpike, Floral Park, USA
4.8 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"225 Northern Blvd, Great Neck, USA
7.6 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"125 West John Street, Hicksville, USA
6.4 mi from Hempstead city center",Counter in terminal shuttle to car,$76
Economy,"Chevrolet Spark, Ford Fiesta or similar",4person,Unlimited mileage,Enhanced cleaning,"235 Sunrise Highway, Freeport, USA
3.6 mi from Hempstead city center",Counter in terminal shuttle to car,$76
